CMDLINE jupyter-lab
MEM 1.628906 1701693737.0757
MEM 3.375000 1701693737.1829
MEM 3.375000 1701693737.2909
MEM 3.375000 1701693737.4006
MEM 3.375000 1701693737.5105
MEM 3.375000 1701693737.6195
MEM 3.375000 1701693737.7309
MEM 3.375000 1701693737.8410
MEM 3.375000 1701693737.9525
MEM 3.375000 1701693738.0616
MEM 3.375000 1701693738.1706
MEM 3.375000 1701693738.2796
MEM 3.375000 1701693738.3896
MEM 3.375000 1701693738.4987
MEM 3.375000 1701693738.6067
MEM 3.375000 1701693738.7162
MEM 3.375000 1701693738.8258
MEM 3.375000 1701693738.9360
MEM 3.375000 1701693739.0449
MEM 3.375000 1701693739.1542
MEM 3.375000 1701693739.2639
MEM 3.375000 1701693739.3729
MEM 3.375000 1701693739.4839
MEM 3.375000 1701693739.5944
MEM 3.375000 1701693739.7040
MEM 3.375000 1701693739.8140
MEM 3.375000 1701693739.9222
MEM 3.375000 1701693740.0314
MEM 3.375000 1701693740.1390
MEM 3.375000 1701693740.2473
MEM 3.375000 1701693740.3553
MEM 3.375000 1701693740.4654
MEM 3.375000 1701693740.5767
MEM 3.375000 1701693740.6849
MEM 3.375000 1701693740.7962
MEM 3.375000 1701693740.9060
MEM 3.375000 1701693741.0172
MEM 3.375000 1701693741.1277
MEM 3.375000 1701693741.2359
MEM 3.375000 1701693741.3457
MEM 3.375000 1701693741.4563
MEM 3.375000 1701693741.5669
MEM 3.375000 1701693741.6757
MEM 3.375000 1701693741.7860
MEM 3.375000 1701693741.8954
MEM 3.375000 1701693742.0037
MEM 3.375000 1701693742.1116
MEM 3.375000 1701693742.2198
MEM 3.375000 1701693742.3269
MEM 3.375000 1701693742.4347
MEM 3.375000 1701693742.5433
MEM 3.375000 1701693742.6526
MEM 3.375000 1701693742.7623
MEM 3.375000 1701693742.8714
MEM 3.375000 1701693742.9800
MEM 3.375000 1701693743.0896
MEM 3.375000 1701693743.1980
MEM 3.375000 1701693743.3059
MEM 3.375000 1701693743.4141
MEM 3.375000 1701693743.5236
MEM 3.375000 1701693743.6334
MEM 3.375000 1701693743.7419
MEM 3.375000 1701693743.8509
MEM 3.375000 1701693743.9607
MEM 3.375000 1701693744.0690
MEM 3.375000 1701693744.1780
MEM 3.375000 1701693744.2858
MEM 3.375000 1701693744.3937
MEM 3.375000 1701693744.5010
MEM 3.375000 1701693744.6099
MEM 3.375000 1701693744.7189
MEM 3.375000 1701693744.8278
MEM 3.375000 1701693744.9363
MEM 3.375000 1701693745.0455
MEM 3.375000 1701693745.1542
MEM 3.375000 1701693745.2631
MEM 3.375000 1701693745.3711
MEM 3.375000 1701693745.4793
MEM 3.375000 1701693745.5883
MEM 3.375000 1701693745.6987
MEM 3.375000 1701693745.8058
MEM 3.375000 1701693745.9158
MEM 3.375000 1701693746.0237
MEM 3.375000 1701693746.1324
MEM 3.375000 1701693746.2420
MEM 3.375000 1701693746.3518
MEM 3.375000 1701693746.4606
MEM 3.375000 1701693746.5703
MEM 3.375000 1701693746.6793
MEM 3.375000 1701693746.7885
MEM 3.375000 1701693746.8979
MEM 3.375000 1701693747.0067
MEM 3.375000 1701693747.1159
MEM 3.375000 1701693747.2233
MEM 3.375000 1701693747.3321
MEM 3.375000 1701693747.4419
MEM 3.375000 1701693747.5499
MEM 3.375000 1701693747.6583
MEM 3.375000 1701693747.7672
MEM 3.375000 1701693747.8761
MEM 3.375000 1701693747.9846
MEM 3.375000 1701693748.0923
MEM 3.375000 1701693748.2028
MEM 3.375000 1701693748.3131
MEM 3.375000 1701693748.4226
MEM 3.375000 1701693748.5321
MEM 3.375000 1701693748.6419
MEM 3.375000 1701693748.7514
MEM 3.375000 1701693748.8603
MEM 3.375000 1701693748.9677
MEM 3.375000 1701693749.0769
MEM 3.375000 1701693749.1847
MEM 3.375000 1701693749.2902
MEM 3.375000 1701693749.3995
MEM 3.375000 1701693749.5085
MEM 3.375000 1701693749.6169
MEM 3.375000 1701693749.7246
MEM 3.375000 1701693749.8316
MEM 3.375000 1701693749.9389
MEM 3.375000 1701693750.0461
MEM 3.375000 1701693750.1537
MEM 3.375000 1701693750.2608
MEM 3.375000 1701693750.3702
MEM 3.375000 1701693750.4796
MEM 3.375000 1701693750.5884
MEM 3.375000 1701693750.6976
MEM 3.375000 1701693750.8070
MEM 3.375000 1701693750.9149
MEM 3.375000 1701693751.0241
MEM 3.375000 1701693751.1333
MEM 3.375000 1701693751.2421
MEM 3.375000 1701693751.3508
MEM 3.375000 1701693751.4582
MEM 3.375000 1701693751.5665
MEM 3.375000 1701693751.6759
MEM 3.375000 1701693751.7845
MEM 3.375000 1701693751.8924
MEM 3.375000 1701693751.9998
MEM 3.375000 1701693752.1094
MEM 3.375000 1701693752.2187
MEM 3.375000 1701693752.3277
MEM 3.375000 1701693752.4358
MEM 3.375000 1701693752.5451
